Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Vehicle Type,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Cooking_with_microwave,Cooking_with_oven,Cooking_with_grill,Cooking_with_airfryer,Cooking_with_stove,Do You Recyle_Plastic,Do You Recyle_Paper,Do You Recyle_Metal,Do You Recyle_Glass,Carbon Footprint (kg/month)
overweight,male,vegetarian,less frequently,electricity,walk/bicycle,often,129,rarely,439,electric,medium,9,4,10,3,Sometimes,1,0,0,1,0,1,0,0,0,606.74
underweight,female,omnivore,less frequently,electricity,private,never,369,very frequently,1412,None,medium,6,5,6,1,Yes,0,1,1,0,1,0,1,0,0,1378.35
overweight,male,omnivore,twice a day,coal,private,sometimes,220,rarely,3412,None,extra large,4,1,2,5,No,0,1,0,1,0,1,1,0,0,2876.08
overweight,male,omnivore,more frequently,wood,private,often,120,frequently,2837,diesel,extra large,2,1,6,10,Sometimes,0,1,0,0,1,1,1,1,0,2407.19
underweight,male,omnivore,twice a day,coal,public,often,137,very frequently,2746,lpg,small,7,5,7,1,Yes,0,0,0,0,0,0,0,0,0,2379.49
underweight,male,vegetarian,less frequently,wood,private,never,106,rarely,927,hybrid,large,6,3,4,4,Yes,0,0,0,1,0,0,1,1,1,922.95
overweight,male,vegetarian,twice a day,electricity,walk/bicycle,often,216,rarely,300,hybrid,large,7,3,1,8,Sometimes,0,1,0,1,0,1,1,1,1,425.21
normal,female,vegetarian,more frequently,natural gas,private,sometimes,168,very frequently,1362,electric,small,2,4,6,0,Yes,0,0,0,1,1,0,1,0,1,1263.54
obese,male,vegan,twice a day,wood,private,never,334,never,731,lpg,large,3,7,7,12,Yes,0,1,1,1,0,1,0,1,0,856.35
underweight,male,pescatarian,twice a day,electricity,public,sometimes,285,frequently,2518,None,large,0,11,9,11,No,1,0,0,0,1,1,0,0,1,2190.62
obese,female,vegetarian,daily,electricity,walk/bicycle,sometimes,459,never,1056,diesel,medium,5,12,0,6,No,0,1,0,0,1,0,0,1,1,1103.28
normal,female,omnivore,more frequently,electricity,private,never,447,rarely,4561,electric,small,6,3,10,1,Sometimes,0,0,0,0,1,0,0,0,1,3973.94
normal,female,vegetarian,less frequently,natural gas,public,sometimes,369,rarely,2338,lpg,extra large,7,12,5,2,Sometimes,0,1,1,1,0,1,0,1,0,2161.18
normal,male,pescatarian,more frequently,electricity,walk/bicycle,often,352,never,4397,electric,large,8,12,6,11,Yes,1,1,1,0,0,1,1,1,1,3831.56
underweight,male,vegan,less frequently,coal,walk/bicycle,sometimes,69,frequently,4580,None,extra large,8,10,4,0,No,1,1,1,1,0,1,1,0,1,3847.08
normal,female,omnivore,less frequently,electricity,public,often,56,rarely,4969,lpg,small,1,12,2,10,No,1,1,1,0,0,0,1,0,1,4104.24
underweight,female,vegan,daily,electricity,public,never,259,very frequently,675,hybrid,large,5,12,1,12,No,0,1,0,1,1,1,0,0,0,766.98
normal,female,vegetarian,more frequently,wood,public,often,287,rarely,363,electric,large,7,12,10,7,No,1,0,1,0,0,0,1,0,0,565.4
obese,female,omnivore,daily,wood,public,sometimes,399,rarely,4963,diesel,small,10,5,10,11,Yes,0,1,0,0,0,1,0,0,1,4349.72
obese,male,omnivore,twice a day,wood,public,often,433,frequently,2410,lpg,small,9,8,4,9,Sometimes,1,0,0,0,0,1,1,0,1,2218.71
overweight,male,vegetarian,more frequently,electricity,public,sometimes,163,very frequently,646,diesel,small,8,12,7,2,Sometimes,1,0,1,0,1,1,0,1,0,757.11
obese,male,vegetarian,twice a day,electricity,private,often,358,never,2390,diesel,small,3,10,9,2,Yes,0,0,1,0,0,1,0,0,1,2153.5
overweight,male,pescatarian,more frequently,coal,public,never,498,never,3716,electric,small,7,0,5,8,No,0,1,0,1,0,1,0,1,1,3266.42
obese,male,vegetarian,less frequently,natural gas,public,never,207,frequently,2019,lpg,medium,6,5,4,4,Sometimes,1,1,1,0,0,0,0,0,1,1829.5
underweight,female,vegetarian,twice a day,electricity,walk/bicycle,often,371,rarely,2975,None,small,8,2,9,5,No,0,1,1,0,0,0,0,0,1,2687.2
obese,male,vegetarian,more frequently,natural gas,walk/bicycle,never,448,rarely,1104,petrol,large,8,10,8,7,Yes,0,1,0,0,0,0,0,0,1,1204.09
overweight,female,omnivore,more frequently,electricity,walk/bicycle,often,176,frequently,4435,diesel,large,0,5,2,7,No,0,0,0,1,0,0,1,0,0,3698.55
overweight,female,pescatarian,twice a day,natural gas,public,sometimes,252,rarely,952,lpg,extra large,6,5,7,5,Yes,0,0,0,0,0,0,1,1,1,997.77
normal,female,omnivore,daily,wood,public,often,273,never,1743,hybrid,extra large,6,2,7,6,Yes,0,0,0,0,1,0,1,1,1,1606.75
underweight,male,vegetarian,more frequently,electricity,private,sometimes,119,never,2940,diesel,large,3,3,7,0,Yes,0,0,0,1,0,0,0,1,1,2488.78
obese,female,pescatarian,daily,coal,private,often,397,rarely,2782,diesel,medium,1,5,2,9,Yes,1,0,1,0,0,0,1,1,1,2412.72
normal,male,vegetarian,daily,natural gas,private,sometimes,169,very frequently,2169,diesel,extra large,1,4,10,3,Yes,0,0,1,1,1,0,0,0,0,1909.51
obese,female,omnivore,daily,wood,private,never,490,frequently,4429,None,extra large,4,3,3,12,Sometimes,1,1,1,0,1,0,1,1,1,3820.07
obese,male,omnivore,daily,coal,public,often,202,very frequently,1006,hybrid,small,0,10,8,5,Yes,1,0,1,0,0,1,0,1,1,987.49
normal,female,vegetarian,daily,wood,walk/bicycle,never,72,frequently,2121,hybrid,medium,5,12,0,11,No,1,0,0,0,0,0,1,0,1,1847.69
normal,male,pescatarian,less frequently,electricity,public,never,189,rarely,736,electric,extra large,7,2,2,7,Yes,1,1,1,1,1,0,1,0,1,809.07
normal,female,omnivore,daily,coal,public,sometimes,481,very frequently,1320,petrol,medium,2,11,6,6,Sometimes,0,1,0,1,0,1,0,1,0,1346.56
normal,female,vegetarian,less frequently,natural gas,public,never,161,rarely,4181,electric,large,10,1,0,9,No,0,0,1,0,1,0,1,1,1,3544.84
normal,female,vegan,more frequently,natural gas,public,sometimes,187,rarely,4929,petrol,large,10,7,4,10,Sometimes,0,1,0,1,1,1,0,1,1,4186.73
obese,female,vegetarian,less frequently,coal,walk/bicycle,never,450,frequently,1727,diesel,large,7,8,1,5,No,1,1,1,0,0,1,0,1,0,1703.65
normal,male,vegetarian,less frequently,natural gas,walk/bicycle,never,229,frequently,4870,lpg,large,6,10,6,4,Sometimes,0,0,0,1,0,0,1,0,0,4114.32
underweight,male,pescatarian,daily,wood,private,often,168,frequently,2547,diesel,large,6,3,7,4,Sometimes,0,1,1,1,1,1,1,0,0,2258.6
overweight,male,vegetarian,more frequently,coal,public,often,179,rarely,1960,hybrid,medium,5,3,8,4,Sometimes,1,1,1,1,1,0,0,0,1,1799.84
normal,female,vegan,more frequently,natural gas,private,sometimes,237,very frequently,2170,petrol,small,4,4,6,4,Yes,0,0,1,1,0,0,1,1,1,1971.32
normal,female,vegetarian,more frequently,wood,walk/bicycle,never,490,frequently,4734,diesel,large,9,3,1,5,Sometimes,1,0,1,1,0,0,1,1,1,4088.53
obese,female,vegan,twice a day,natural gas,walk/bicycle,never,130,frequently,4011,petrol,small,2,9,9,4,No,1,0,0,0,0,1,1,1,0,3383.42
normal,female,omnivore,less frequently,wood,private,often,250,never,3613,electric,medium,7,7,2,4,No,1,1,1,1,0,0,0,1,0,3134.59
normal,female,vegetarian,daily,electricity,walk/bicycle,sometimes,480,rarely,4005,hybrid,large,9,10,8,0,No,0,1,0,1,1,0,0,1,1,3557.41
normal,female,pescatarian,twice a day,wood,walk/bicycle,often,376,never,4262,hybrid,small,5,12,9,2,Yes,1,1,0,1,0,1,1,0,1,3655.42
obese,male,vegetarian,daily,natural gas,public,never,446,frequently,1682,None,extra large,2,10,8,0,Yes,1,0,1,0,1,1,0,1,0,1616.76
normal,male,vegan,twice a day,wood,public,sometimes,123,never,1789,None,extra large,2,1,2,10,Yes,0,0,1,1,1,0,1,1,1,1569.15
overweight,male,vegan,more frequently,natural gas,walk/bicycle,never,327,very frequently,4526,None,small,5,4,2,11,No,0,0,1,0,0,1,1,0,0,3842.48
obese,male,pescatarian,twice a day,coal,walk/bicycle,often,175,very frequently,4133,lpg,large,6,9,1,2,No,0,1,0,0,0,0,1,0,0,3474.53
overweight,male,vegan,more frequently,coal,private,sometimes,205,never,400,diesel,medium,4,11,2,0,Yes,0,1,0,1,1,1,0,0,1,531.49
obese,male,vegetarian,twice a day,electricity,private,often,232,very frequently,590,hybrid,large,3,9,8,5,No,1,0,1,1,1,1,0,0,1,673.93
normal,male,vegan,daily,wood,walk/bicycle,never,483,rarely,3012,None,extra large,0,7,4,5,No,1,0,1,1,1,1,1,1,0,2626.94
overweight,male,vegetarian,daily,electricity,public,never,155,never,2801,lpg,medium,6,3,4,5,No,1,0,1,1,1,1,0,0,1,2438.15
obese,female,vegetarian,twice a day,coal,public,often,429,rarely,1514,hybrid,medium,3,0,5,6,Yes,1,0,1,0,1,1,0,1,1,1442.43
underweight,female,vegan,less frequently,wood,private,never,383,very frequently,3938,electric,medium,5,4,5,9,Sometimes,0,0,1,1,0,1,0,0,1,3404.28
normal,female,pescatarian,less frequently,wood,public,often,196,never,771,diesel,small,3,4,7,0,Sometimes,1,1,1,0,1,0,1,0,1,795.19
obese,female,omnivore,twice a day,electricity,public,often,423,never,1698,diesel,large,2,8,5,9,Sometimes,1,1,0,0,1,0,1,1,0,1621.85
underweight,female,pescatarian,less frequently,electricity,private,sometimes,50,frequently,1645,None,small,3,2,7,9,Yes,1,1,1,1,0,1,0,1,1,1454.01
obese,female,omnivore,daily,wood,private,never,233,rarely,1429,petrol,medium,6,2,10,7,Sometimes,1,1,0,1,1,0,0,0,0,1371.1
underweight,female,pescatarian,less frequently,wood,public,never,137,frequently,3259,None,small,10,3,8,11,No,1,1,0,1,1,1,0,0,1,2886.0
normal,male,vegetarian,twice a day,wood,private,often,447,frequently,3107,lpg,small,0,4,4,3,Sometimes,1,0,0,1,1,0,1,1,1,2703.44
overweight,male,vegetarian,less frequently,electricity,walk/bicycle,sometimes,241,very frequently,3976,electric,medium,2,8,1,8,Yes,1,1,0,0,0,1,1,1,1,3356.26
underweight,female,vegan,twice a day,natural gas,private,often,136,rarely,3437,petrol,medium,2,3,4,1,No,1,1,1,1,0,1,1,1,1,2885.2
obese,male,omnivore,daily,coal,walk/bicycle,never,118,rarely,312,electric,small,6,11,2,1,Sometimes,1,0,1,1,0,0,1,1,0,443.44
normal,male,omnivore,more frequently,coal,walk/bicycle,sometimes,389,very frequently,873,petrol,extra large,4,8,9,7,No,1,1,0,1,0,0,1,0,1,1000.85
underweight,male,vegan,daily,electricity,walk/bicycle,sometimes,455,very frequently,4972,petrol,medium,0,6,5,0,No,1,1,0,1,0,0,0,0,0,4225.32
obese,male,pescatarian,daily,wood,private,often,159,rarely,89,diesel,extra large,9,4,4,3,Sometimes,0,1,1,1,0,1,0,0,0,286.72
obese,male,vegan,twice a day,coal,private,often,433,very frequently,1667,electric,medium,3,1,9,12,Yes,0,1,0,1,1,0,1,0,1,1629.55
obese,female,pescatarian,daily,coal,private,sometimes,409,rarely,2354,lpg,medium,5,9,2,6,Yes,1,1,1,1,0,1,1,1,0,2154.67
underweight,male,vegan,daily,coal,walk/bicycle,never,221,very frequently,595,lpg,large,4,9,6,11,Yes,1,1,1,1,0,1,1,1,0,695.76
underweight,female,omnivore,less frequently,coal,private,never,427,frequently,105,petrol,extra large,8,5,5,10,No,1,0,1,1,0,0,1,1,0,411.58
underweight,female,omnivore,twice a day,wood,public,sometimes,226,very frequently,2250,petrol,small,10,6,4,3,No,0,1,0,0,1,1,0,1,0,2105.53
overweight,female,pescatarian,less frequently,electricity,public,often,148,never,4422,electric,small,6,11,8,8,Yes,0,0,1,1,1,0,1,0,0,3785.43
underweight,male,omnivore,twice a day,wood,private,often,85,very frequently,1643,diesel,large,8,11,10,2,Yes,1,0,1,1,1,0,0,0,0,1571.9
underweight,female,omnivore,less frequently,wood,walk/bicycle,never,274,never,4145,diesel,extra large,8,10,0,4,No,1,1,1,1,1,0,1,0,1,3517.67
underweight,female,omnivore,less frequently,coal,private,never,393,rarely,2951,electric,small,5,3,3,2,Yes,0,0,0,1,1,1,0,1,0,2634.69
overweight,female,omnivore,more frequently,coal,public,sometimes,467,frequently,2134,electric,extra large,4,6,5,2,No,0,0,0,1,1,0,1,1,1,1979.38
underweight,female,vegetarian,daily,wood,walk/bicycle,never,342,very frequently,3951,diesel,extra large,8,2,0,5,Yes,1,1,0,0,1,0,0,0,0,3405.84
obese,male,vegan,less frequently,wood,private,never,302,rarely,4846,petrol,small,0,5,8,5,No,1,1,1,1,0,1,1,0,1,4086.92
underweight,female,vegan,more frequently,wood,private,often,100,never,777,diesel,extra large,0,7,9,1,No,1,1,1,0,1,0,0,1,0,783.03
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,often,342,frequently,4008,hybrid,medium,5,0,0,4,Yes,0,0,0,0,0,0,0,1,1,3420.54
obese,female,omnivore,less frequently,coal,walk/bicycle,never,202,rarely,2647,hybrid,extra large,9,5,4,6,No,1,1,1,1,0,1,1,0,1,2352.8
obese,female,vegan,more frequently,electricity,public,often,391,rarely,3247,electric,extra large,7,8,9,12,Yes,0,0,1,1,0,1,0,1,1,2896.21
overweight,male,vegan,more frequently,electricity,private,often,286,rarely,2708,hybrid,extra large,2,6,0,0,No,1,1,0,1,1,1,1,0,1,2333.08
overweight,female,vegan,more frequently,electricity,public,often,310,rarely,469,lpg,large,9,4,8,2,Sometimes,1,0,1,0,1,1,0,1,0,656.67
overweight,female,pescatarian,daily,natural gas,public,never,185,very frequently,1686,hybrid,small,7,12,0,2,Sometimes,0,1,0,0,1,1,1,0,1,1541.1
underweight,female,vegetarian,daily,natural gas,walk/bicycle,often,303,rarely,1348,None,extra large,0,6,2,10,No,1,0,1,0,0,0,0,1,1,1276.78
obese,female,pescatarian,less frequently,electricity,private,never,358,rarely,2848,diesel,small,7,11,0,6,No,0,0,0,1,0,0,0,0,0,2572.44
overweight,female,pescatarian,daily,electricity,public,never,154,very frequently,920,hybrid,large,10,5,0,4,Yes,0,0,1,0,0,0,1,1,1,936.37
overweight,female,vegetarian,more frequently,electricity,public,sometimes,416,never,2279,petrol,small,0,12,7,0,Yes,0,0,0,0,0,1,0,0,0,2032.17
underweight,male,vegan,twice a day,wood,walk/bicycle,sometimes,332,frequently,697,electric,small,0,10,5,5,No,0,0,1,1,0,0,1,0,0,769.23
overweight,female,pescatarian,daily,coal,private,sometimes,366,frequently,3673,petrol,medium,2,8,10,9,Yes,0,0,0,0,0,1,0,1,0,3209.09
underweight,male,vegan,more frequently,natural gas,private,never,370,very frequently,1345,hybrid,large,6,5,6,10,Yes,1,0,0,1,0,1,1,1,1,1363.65
normal,male,pescatarian,more frequently,natural gas,public,sometimes,133,very frequently,3297,petrol,medium,5,5,2,10,Sometimes,1,1,0,0,1,0,1,0,0,2841.42
overweight,female,vegan,more frequently,wood,walk/bicycle,often,248,never,2987,lpg,medium,5,7,3,6,No,1,1,0,1,1,1,0,0,1,2627.97
normal,male,omnivore,more frequently,natural gas,private,sometimes,94,frequently,3262,petrol,large,0,2,9,5,No,1,1,1,1,1,1,0,0,0,2738.73
underweight,female,omnivore,less frequently,electricity,private,never,436,very frequently,1196,lpg,small,0,2,1,0,Sometimes,1,1,0,1,1,1,0,1,0,1134.98
obese,male,omnivore,more frequently,natural gas,public,often,238,rarely,465,diesel,extra large,9,7,4,5,Yes,1,1,0,1,0,0,0,1,1,655.04
overweight,female,vegetarian,more frequently,wood,private,often,99,very frequently,3959,None,large,2,7,0,6,Sometimes,0,1,1,0,1,0,1,0,0,3330.65
underweight,male,omnivore,less frequently,coal,private,often,353,frequently,1858,petrol,small,1,5,9,6,No,1,1,0,1,0,1,1,1,0,1718.1
obese,male,pescatarian,daily,electricity,private,sometimes,250,never,4294,hybrid,extra large,0,1,6,3,No,1,0,1,1,1,1,1,1,1,3603.42
obese,female,vegan,twice a day,natural gas,private,sometimes,224,never,2902,diesel,small,1,6,1,0,No,1,0,0,1,0,1,0,1,0,2484.57
normal,male,vegan,less frequently,electricity,public,sometimes,191,rarely,2176,electric,large,8,12,10,12,No,0,0,0,1,0,1,0,0,0,2030.67
underweight,male,vegan,less frequently,coal,private,sometimes,324,rarely,3910,electric,medium,6,7,6,3,Sometimes,0,0,0,1,0,1,0,1,0,3380.35
obese,male,vegan,daily,natural gas,private,often,239,frequently,1015,hybrid,medium,10,6,7,1,Sometimes,0,1,0,1,0,1,1,0,1,1100.66
overweight,male,pescatarian,daily,electricity,walk/bicycle,never,183,rarely,4437,None,large,4,2,6,2,No,1,1,0,1,0,1,1,0,0,3731.39
overweight,male,vegan,more frequently,wood,public,sometimes,440,frequently,3154,lpg,large,8,9,3,7,Yes,0,1,1,0,1,1,1,0,1,2842.43
normal,female,pescatarian,daily,wood,private,never,150,frequently,4957,petrol,small,10,6,7,4,No,0,1,1,1,0,1,1,1,0,4211.43
obese,male,pescatarian,twice a day,coal,walk/bicycle,often,395,very frequently,1160,electric,medium,3,11,10,2,No,1,1,1,0,1,1,0,1,0,1217.82
underweight,male,vegan,less frequently,coal,public,never,318,rarely,162,petrol,large,8,1,8,11,Sometimes,1,0,1,1,1,1,1,1,0,407.3
overweight,female,vegan,twice a day,coal,private,never,406,very frequently,4761,None,small,1,0,2,9,No,0,1,1,0,1,0,0,1,1,3972.58
obese,female,vegan,more frequently,natural gas,walk/bicycle,sometimes,351,very frequently,2220,None,extra large,1,5,1,0,Sometimes,1,0,0,1,0,0,0,0,1,1948.36
obese,female,pescatarian,twice a day,coal,public,sometimes,82,frequently,4274,diesel,extra large,8,9,9,2,Yes,0,1,0,0,0,1,1,1,1,3658.2
normal,male,vegetarian,more frequently,natural gas,private,often,165,frequently,3931,petrol,large,5,3,4,5,No,0,1,1,0,0,0,0,0,0,3323.18
overweight,male,pescatarian,twice a day,electricity,walk/bicycle,sometimes,146,frequently,3224,electric,small,10,0,3,1,Sometimes,0,0,0,0,1,0,1,0,0,2788.72
overweight,male,vegetarian,less frequently,wood,public,never,90,frequently,4554,lpg,extra large,5,1,7,9,Yes,0,0,0,0,1,0,1,0,1,3807.99
