Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,CarbonEmission,"['Grill', 'Airfryer']","['Microwave', 'Grill', 'Airfryer']",['Microwave'],"['Oven', 'Grill', 'Airfryer']","['Oven', 'Microwave', 'Grill', 'Airfryer']","['Oven', 'Microwave']",['Oven'],"['Stove', 'Grill', 'Airfryer']","['Stove', 'Microwave', 'Grill', 'Airfryer']","['Stove', 'Microwave']","['Stove', 'Oven', 'Grill', 'Airfryer']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']","['Stove', 'Oven', 'Microwave']","['Stove', 'Oven']",['Stove'],[]
underweight,female,omnivore,less frequently,electricity,public,,never,258,frequently,1028,small,2,13,44,4,Yes,"['Glass', 'Metal']",1561,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
obese,female,vegan,more frequently,wood,public,,sometimes,189,frequently,1527,medium,4,23,34,10,Yes,"['Glass', 'Metal']",2202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
underweight,female,vegetarian,daily,coal,walk/bicycle,,sometimes,262,frequently,88,large,5,24,8,15,Sometimes,[],2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,female,pescatarian,daily,natural gas,walk/bicycle,,never,157,frequently,73,medium,4,1,42,22,No,"['Paper', 'Glass', 'Metal']",1659,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
normal,female,pescatarian,daily,wood,private,lpg,often,280,very frequently,8320,small,5,9,0,4,Sometimes,"['Paper', 'Metal']",3911,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
normal,male,vegetarian,twice a day,coal,walk/bicycle,,sometimes,121,never,72,medium,6,11,4,10,Yes,"['Glass', 'Metal']",1204,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
underweight,female,vegan,less frequently,coal,walk/bicycle,,often,174,very frequently,9,large,2,1,40,15,Yes,"['Paper', 'Plastic', 'Glass']",2431,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
obese,male,vegetarian,daily,electricity,walk/bicycle,,sometimes,173,frequently,60,medium,2,16,14,20,Sometimes,"['Plastic', 'Glass']",1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
underweight,male,vegan,twice a day,natural gas,walk/bicycle,,sometimes,199,frequently,13,medium,5,17,6,15,No,"['Paper', 'Glass', 'Metal']",1648,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
underweight,male,omnivore,less frequently,wood,walk/bicycle,,never,94,rarely,32,small,6,15,5,17,Sometimes,"['Glass', 'Metal']",1002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
underweight,female,pescatarian,less frequently,coal,walk/bicycle,,never,64,frequently,49,small,1,19,47,16,Yes,"['Plastic', 'Glass']",1771,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
overweight,female,omnivore,twice a day,electricity,public,,never,100,very frequently,1351,extra large,1,20,24,5,Yes,"['Paper', 'Plastic', 'Glass']",2028,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
normal,female,vegetarian,more frequently,coal,public,,often,240,very frequently,1726,medium,2,15,19,5,No,"['Glass', 'Metal']",2540,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
underweight,female,omnivore,daily,electricity,public,,sometimes,245,never,1021,medium,7,14,48,10,No,"['Paper', 'Glass', 'Metal']",1386,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
normal,female,pescatarian,daily,coal,walk/bicycle,,sometimes,270,rarely,62,small,5,22,21,11,Sometimes,['Plastic'],1679,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
overweight,male,omnivore,daily,wood,private,electric,often,294,very frequently,9488,small,5,16,20,18,Yes,['Glass'],3141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
normal,male,vegetarian,more frequently,wood,public,,never,87,very frequently,1037,large,4,0,11,24,No,"['Paper', 'Plastic']",2627,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
underweight,male,pescatarian,less frequently,wood,private,electric,never,209,never,9555,large,2,13,43,3,Yes,"['Paper', 'Glass', 'Metal']",1188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
underweight,male,pescatarian,twice a day,electricity,private,diesel,never,124,never,9031,extra large,5,1,11,5,Yes,"['Plastic', 'Glass']",3174,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
overweight,female,vegetarian,more frequently,natural gas,public,,sometimes,276,frequently,1461,large,7,19,5,12,Sometimes,['Metal'],2327,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
overweight,female,vegan,daily,wood,walk/bicycle,,never,90,very frequently,39,medium,3,22,7,9,Yes,"['Paper', 'Plastic', 'Metal']",1822,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
obese,female,vegan,less frequently,natural gas,private,diesel,sometimes,136,never,5033,medium,6,0,43,24,No,"['Paper', 'Plastic', 'Metal']",2665,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
underweight,male,vegan,daily,electricity,public,,sometimes,246,frequently,1065,extra large,4,22,43,7,Yes,"['Plastic', 'Metal']",2129,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
normal,male,pescatarian,less frequently,wood,public,,often,94,rarely,927,medium,5,18,10,21,Yes,"['Paper', 'Glass']",1425,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
overweight,male,vegetarian,more frequently,electricity,private,hybrid,never,253,frequently,2277,large,1,0,11,20,Sometimes,"['Paper', 'Glass', 'Metal']",1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
obese,female,omnivore,more frequently,natural gas,walk/bicycle,,never,200,rarely,97,medium,7,13,18,0,Sometimes,['Metal'],1717,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
normal,male,vegan,less frequently,coal,private,lpg,sometimes,281,frequently,7272,large,2,4,38,5,No,"['Paper', 'Glass']",4060,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,female,vegetarian,less frequently,electricity,private,petrol,sometimes,82,rarely,5260,extra large,3,14,18,17,No,"['Plastic', 'Glass']",3262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
overweight,female,pescatarian,more frequently,coal,public,,often,73,rarely,1750,extra large,1,9,30,12,Yes,"['Paper', 'Glass']",1674,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
obese,male,vegetarian,daily,natural gas,private,hybrid,often,246,frequently,2998,small,4,0,36,3,Sometimes,['Metal'],3135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
underweight,male,pescatarian,less frequently,natural gas,private,lpg,sometimes,98,rarely,9147,extra large,5,1,49,20,Yes,"['Plastic', 'Glass']",4465,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
overweight,male,pescatarian,twice a day,electricity,public,,never,256,rarely,1947,extra large,3,23,33,8,Sometimes,[],1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
overweight,female,vegetarian,less frequently,electricity,private,lpg,often,287,very frequently,4885,large,1,21,21,3,Yes,"['Plastic', 'Metal']",3246,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
obese,female,omnivore,daily,electricity,walk/bicycle,,never,63,frequently,20,large,4,1,6,14,No,"['Paper', 'Plastic', 'Glass', 'Metal']",1351,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
obese,male,vegetarian,less frequently,coal,walk/bicycle,,often,158,never,23,extra large,1,24,33,2,No,['Glass'],1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
obese,male,omnivore,twice a day,electricity,walk/bicycle,,often,241,frequently,34,large,5,24,15,10,Yes,[],2719,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
obese,female,vegetarian,twice a day,coal,walk/bicycle,,never,176,frequently,59,large,1,11,41,19,Yes,['Paper'],2336,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
normal,female,vegetarian,less frequently,wood,public,,often,189,never,682,small,6,0,35,3,Sometimes,['Glass'],1270,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,,often,214,never,10,large,6,20,12,24,Yes,['Glass'],1803,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
normal,female,vegan,daily,electricity,walk/bicycle,,sometimes,264,very frequently,10,medium,1,7,22,17,Sometimes,"['Paper', 'Glass']",1816,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
normal,male,omnivore,twice a day,coal,private,petrol,sometimes,213,never,7964,small,1,16,43,9,No,"['Paper', 'Plastic']",4638,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
underweight,female,omnivore,twice a day,coal,private,hybrid,often,281,rarely,3606,small,3,16,8,22,Sometimes,"['Plastic', 'Metal']",1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
normal,male,vegan,less frequently,natural gas,public,,sometimes,280,frequently,536,large,2,2,30,1,Yes,['Plastic'],2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
normal,male,omnivore,more frequently,natural gas,public,,never,125,rarely,1564,large,5,4,15,23,No,['Metal'],1896,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
obese,male,vegan,daily,electricity,walk/bicycle,,never,188,frequently,78,small,4,11,21,3,No,['Paper'],1770,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
normal,female,omnivore,daily,wood,walk/bicycle,,often,251,never,98,small,1,12,47,3,No,"['Paper', 'Plastic', 'Metal']",1323,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
normal,female,pescatarian,daily,wood,public,,never,285,very frequently,1820,small,1,21,24,9,Yes,['Plastic'],2269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,male,vegan,more frequently,wood,public,,never,234,never,243,extra large,4,20,36,5,Yes,"['Plastic', 'Glass', 'Metal']",1918,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
overweight,female,vegan,daily,natural gas,public,,sometimes,91,very frequently,1586,small,7,8,43,2,Yes,"['Paper', 'Plastic', 'Metal']",2477,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
normal,female,omnivore,daily,natural gas,walk/bicycle,,never,118,frequently,11,large,3,6,10,16,No,['Paper'],1444,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,,never,75,never,72,small,5,15,42,16,Sometimes,"['Paper', 'Plastic', 'Glass']",1254,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
overweight,male,vegetarian,more frequently,electricity,public,,never,134,never,1157,small,5,19,35,10,No,['Glass'],1411,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
underweight,male,pescatarian,daily,wood,public,,often,282,never,1380,extra large,4,7,11,8,No,"['Plastic', 'Glass']",1605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,male,vegetarian,less frequently,electricity,private,lpg,often,110,never,5765,medium,5,7,2,18,No,['Paper'],3054,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,,never,202,very frequently,92,extra large,6,9,16,14,Yes,[],2902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overweight,male,pescatarian,less frequently,electricity,private,lpg,never,56,frequently,7797,large,7,22,8,15,Yes,"['Plastic', 'Glass']",4301,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
normal,female,vegan,twice a day,electricity,walk/bicycle,,often,223,very frequently,50,small,3,12,35,22,Yes,['Plastic'],2308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
normal,female,vegetarian,more frequently,wood,private,petrol,often,202,frequently,7629,medium,1,17,37,2,No,"['Plastic', 'Glass', 'Metal']",4132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overweight,male,vegetarian,daily,wood,private,petrol,sometimes,114,frequently,2367,medium,3,1,41,23,No,"['Paper', 'Glass', 'Metal']",2993,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
overweight,female,omnivore,daily,wood,private,petrol,often,141,frequently,3960,medium,1,7,21,1,Yes,"['Paper', 'Plastic']",3098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
overweight,female,vegan,twice a day,coal,walk/bicycle,,sometimes,236,rarely,42,extra large,2,19,15,10,Yes,"['Plastic', 'Metal']",1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
normal,female,omnivore,daily,coal,private,lpg,sometimes,95,rarely,6455,large,1,15,31,14,Yes,"['Paper', 'Plastic', 'Glass']",2941,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
overweight,female,vegetarian,more frequently,electricity,walk/bicycle,,never,249,frequently,41,large,4,6,2,4,Sometimes,['Paper'],1349,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,often,213,never,71,medium,1,24,17,16,Yes,"['Plastic', 'Glass']",1038,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,male,vegetarian,twice a day,wood,walk/bicycle,,never,81,never,39,medium,7,16,31,15,No,"['Plastic', 'Glass']",1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
overweight,female,vegetarian,more frequently,coal,walk/bicycle,,never,91,very frequently,50,extra large,1,13,29,24,No,"['Glass', 'Metal']",2566,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
overweight,female,vegan,twice a day,wood,private,electric,sometimes,291,very frequently,8707,medium,3,2,23,23,Sometimes,"['Plastic', 'Glass', 'Metal']",2439,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
obese,female,pescatarian,twice a day,electricity,private,lpg,sometimes,70,very frequently,167,small,2,9,7,20,Yes,"['Plastic', 'Metal']",2056,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
overweight,female,pescatarian,more frequently,natural gas,public,,often,89,very frequently,631,medium,7,2,0,18,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",2299,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overweight,male,vegan,twice a day,electricity,public,,never,121,rarely,194,large,6,15,16,18,Sometimes,"['Plastic', 'Metal']",1492,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
underweight,female,omnivore,daily,coal,walk/bicycle,,often,198,rarely,46,medium,1,12,45,17,No,"['Paper', 'Plastic', 'Glass']",1692,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
obese,male,vegetarian,more frequently,wood,walk/bicycle,,never,234,frequently,37,extra large,3,15,29,3,Yes,['Paper'],2581,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overweight,male,vegetarian,less frequently,wood,walk/bicycle,,sometimes,84,rarely,31,large,2,0,1,1,Sometimes,"['Glass', 'Metal']",950,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,male,vegan,twice a day,coal,private,lpg,often,182,never,2880,small,5,10,9,1,Sometimes,"['Paper', 'Plastic', 'Glass']",1923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
overweight,female,pescatarian,less frequently,wood,walk/bicycle,,often,275,never,6,extra large,2,19,49,19,Yes,['Paper'],1751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
underweight,female,pescatarian,more frequently,coal,walk/bicycle,,sometimes,228,very frequently,40,small,6,1,35,7,Sometimes,['Glass'],2562,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
overweight,male,vegan,more frequently,wood,walk/bicycle,,never,140,frequently,1,large,6,9,24,24,No,"['Paper', 'Plastic']",2456,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
overweight,female,vegetarian,more frequently,electricity,public,,sometimes,232,never,1341,extra large,1,22,8,1,Sometimes,"['Plastic', 'Glass', 'Metal']",657,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
normal,female,pescatarian,twice a day,electricity,public,,often,115,very frequently,393,small,3,21,13,9,No,"['Paper', 'Metal']",1758,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
obese,female,vegan,daily,natural gas,public,,never,157,frequently,191,medium,4,2,44,12,Sometimes,"['Plastic', 'Glass']",2184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,female,pescatarian,twice a day,coal,public,,sometimes,156,very frequently,131,extra large,1,14,20,23,No,"['Paper', 'Glass']",3009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
underweight,male,omnivore,daily,wood,private,diesel,often,252,very frequently,1419,large,5,8,43,20,Yes,"['Plastic', 'Glass']",3748,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
normal,female,vegan,daily,electricity,private,electric,never,162,rarely,9159,small,7,2,26,16,No,[],1122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,male,vegetarian,daily,wood,private,hybrid,never,145,never,8016,small,3,21,14,16,No,"['Plastic', 'Metal']",2810,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
overweight,female,omnivore,daily,electricity,walk/bicycle,,never,214,never,87,medium,3,24,32,23,No,['Plastic'],1346,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
underweight,female,vegan,twice a day,natural gas,walk/bicycle,,never,126,rarely,3,small,5,15,3,12,Yes,"['Paper', 'Plastic', 'Metal']",671,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
underweight,female,omnivore,twice a day,wood,walk/bicycle,,often,91,frequently,13,extra large,1,19,44,16,Yes,"['Paper', 'Glass']",1695,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,female,omnivore,more frequently,electricity,walk/bicycle,,never,205,never,74,large,3,6,2,19,No,"['Plastic', 'Metal']",810,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
underweight,female,pescatarian,twice a day,wood,private,hybrid,never,285,frequently,7743,extra large,3,1,33,4,Yes,['Paper'],2768,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
underweight,female,vegan,more frequently,natural gas,public,,never,178,never,993,large,7,11,2,13,Sometimes,"['Paper', 'Plastic', 'Glass']",1033,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,female,omnivore,twice a day,coal,public,,sometimes,236,rarely,1997,large,4,6,17,6,No,"['Paper', 'Plastic', 'Glass']",2046,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
obese,female,omnivore,more frequently,coal,private,electric,never,286,rarely,2721,small,6,23,30,22,No,"['Glass', 'Metal']",2171,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
normal,female,vegetarian,daily,coal,walk/bicycle,,often,108,rarely,5,medium,7,21,0,4,Yes,"['Paper', 'Plastic']",1312,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
obese,male,vegan,twice a day,wood,public,,sometimes,76,rarely,941,large,1,24,3,18,No,"['Plastic', 'Metal']",1209,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
underweight,male,vegan,more frequently,coal,private,diesel,sometimes,270,frequently,8815,small,2,7,37,9,Sometimes,['Metal'],4017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,female,pescatarian,more frequently,wood,private,electric,often,146,rarely,3276,extra large,1,13,10,10,No,"['Paper', 'Plastic', 'Glass', 'Metal']",877,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
obese,male,vegan,twice a day,electricity,private,hybrid,sometimes,221,never,3309,medium,5,8,16,20,Yes,['Paper'],1856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,male,pescatarian,more frequently,wood,private,hybrid,often,230,never,2623,medium,2,20,31,12,No,"['Glass', 'Metal']",2197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,female,omnivore,twice a day,electricity,private,diesel,often,295,very frequently,7915,large,1,15,10,18,Sometimes,"['Paper', 'Plastic']",4281,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
underweight,male,vegan,less frequently,electricity,private,lpg,sometimes,177,frequently,8897,small,3,17,3,24,Yes,['Glass'],3480,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
underweight,female,vegetarian,twice a day,natural gas,walk/bicycle,,often,189,never,19,medium,1,22,36,7,Sometimes,"['Paper', 'Glass', 'Metal']",953,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
underweight,male,omnivore,daily,natural gas,private,electric,often,174,frequently,3662,small,2,9,44,21,Yes,"['Plastic', 'Metal']",2046,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obese,male,vegan,twice a day,coal,private,petrol,never,193,never,611,large,6,12,37,5,Sometimes,"['Plastic', 'Glass', 'Metal']",2521,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
overweight,male,omnivore,twice a day,wood,public,,never,238,very frequently,1431,large,6,1,33,3,Yes,['Paper'],3551,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
